Exponent,Support,Constraints,Power Divergence,Dataset
0.42,0.052000000000000005,0.0,44.29308865177358,26
0.42,0.031,79.0,1.1635707821012176,36
0.42,0.031,78.0,0.6131238834932148,31
0.42,0.055999999999999994,0.0,82.85224524202121,39
0.42,0.023,64.0,0.5687001870039252,48
0.42,0.035,60.0,0.5403380547977064,55
0.42,0.055999999999999994,1.0,119.66143643878796,32
0.42,0.044000000000000004,1.0,58.83746756678486,38
0.42,0.035,80.0,1.7363497888929869,49
0.42,0.027000000000000003,93.0,2.5502179030193592,54
0.42,0.048,0.0,11.202901027834887,33
0.42,0.06,6.0,23.1973863884872,37
0.42,0.031,73.0,0.910037884814716,53
0.42,0.06,3.0,9.761113556321042,34
0.42,0.027000000000000003,74.0,0.4431166838858529,50
0.42,0.055999999999999994,0.0,51.46350180240177,43
0.42,0.031,68.0,0.4284130555448202,52
0.42,0.031,77.0,5.703652490233513,35
0.42,0.031,81.0,0.6042306026207476,47
0.42,0.06,0.0,5.176711026222776,30
0.42,0.055999999999999994,0.0,4.683931900538474,56
0.42,0.023,57.0,46.779652250045956,40
0.42,0.027000000000000003,67.0,1.3195870353659809,44
0.42,0.027000000000000003,75.0,1.3071388257312158,60
0.42,0.06,0.0,26.46420607060017,27
0.42,0.031,83.0,4.351199780413279,42
0.42,0.052000000000000005,0.0,1.7930160520249518,45
0.42,0.06,1.0,1.3930260202122184,57
0.42,0.06,0.0,14.461785771867769,28
0.42,0.055999999999999994,0.0,14.748966638303957,41
0.42,0.04,75.0,0.6565796262531348,59
0.42,0.031,70.0,0.7516036670336104,51
0.42,0.027000000000000003,68.0,0.6277059720868989,58
0.42,0.06,0.0,32.61125246941705,29
0.42,0.023,70.0,0.4607994090267937,46
0.5,0.021,62.0,1.0671549777551617,36
0.5,0.021,72.0,0.3898132840870986,47
0.5,0.017,38.0,1.0311358002977995,44
0.5,0.021,63.0,3.866192367363464,42
0.5,0.05,1.0,0.7128599271102698,50
0.5,0.046,0.0,79.92386175271727,39
0.5,0.039,2.0,42.75065617135433,38
0.5,0.039,1.0,6.942058455870347,37
0.5,0.043,0.0,0.7905993019661989,49
0.5,0.05,0.0,1.2765117716941938,45
0.5,0.013999999999999999,79.0,0.4761268030280446,48
0.5,0.046,0.0,9.577919230733428,41
0.5,0.05,0.0,20.200702766544374,40
0.5,0.043,0.0,0.6786904099407669,46
0.5,0.046,0.0,0.520602167728529,52
0.5,0.043,0.0,27.32839634200159,43
0.5,0.043,0.0,7.9247343974170805,28
0.5,0.021,69.0,0.8768683513496554,57
0.5,0.039,0.0,3.750179218668228,30
0.5,0.05,0.0,0.5421572267427306,51
0.5,0.043,0.0,3.1036281136146195,56
0.5,0.027999999999999997,61.0,0.7710153769724492,31
0.5,0.027999999999999997,82.0,0.8072654639519935,59
