Exponent,Support,Constraints,Power Divergence,Dataset
0.42,0.064,26.0,1.3463444323297915,1
0.42,0.08199999999999999,9.0,0.5889710297428647,21
0.42,0.073,20.0,0.5273512244384668,6
0.42,0.073,23.0,0.7713678041054002,20
0.42,0.1,20.0,0.7669734982242911,13
0.42,0.091,36.0,1.1909616166385768,19
0.42,0.091,18.0,0.6474404788653155,8
0.42,0.1,24.0,0.5610007946666669,18
0.42,0.091,21.0,0.6400875112518462,9
0.42,0.073,18.0,0.29213119698159,17
0.42,0.08199999999999999,11.0,0.6360951535452264,10
0.42,0.064,19.0,0.696575714672912,16
0.42,0.08199999999999999,24.0,0.6589397087233423,11
0.42,0.064,23.0,0.4330058052552324,15
0.42,0.073,17.0,0.6712152069650082,12
0.42,0.091,19.0,0.2801199983272841,14
0.42,0.073,18.0,0.4919051424722872,5
0.42,0.073,22.0,0.5773077088427474,22
0.42,0.073,16.0,0.1941098257991478,7
0.42,0.073,17.0,0.7385678779279046,25
0.42,0.091,23.0,0.5990085381654312,3
0.42,0.1,42.0,0.9824841815978128,2
0.42,0.064,22.0,0.43157789269710817,23
0.42,0.073,11.0,0.3444387233488579,4
0.42,0.1,22.0,0.3827709035463977,24
0.5,0.037000000000000005,25.0,0.5446342045325666,12
0.5,0.055,17.0,0.4187585475948119,15
0.5,0.064,29.0,0.6885433464805961,11
0.5,0.08199999999999999,17.0,0.4585794555751742,22
0.5,0.064,15.0,0.3298816832683149,14
0.5,0.055,17.0,0.6466121661727182,16
0.5,0.064,30.0,0.6584806591431329,10
0.5,0.073,27.0,0.6143984774942292,2
0.5,0.055,21.0,0.2794781726409261,17
0.5,0.064,29.0,0.6510406464281954,9
0.5,0.046,21.0,1.4387719469286266,1
0.5,0.055,18.0,0.5632109182645157,25
0.5,0.08199999999999999,12.0,0.6413548672764802,24
0.5,0.08199999999999999,8.0,0.8151984463667059,13
0.5,0.073,14.0,0.7427317898125869,20
0.5,0.073,14.0,0.6310867844763128,8
0.5,0.1,9.0,0.6710934955149744,3
