Diseases,Exponent,Best_constraints,Support
4,0.42,7,0.0671$\pm$0.0047
4,0.5,6,0.0799$\pm$0.0035
4,0.63,5,0.0671$\pm$0.0034
4,0.83,3,0.063$\pm$0.0043
4,1.25,0,0.0792$\pm$0.0043
7,0.42,20,0.0835$\pm$0.0026
7,0.5,18,0.0661$\pm$0.0019
7,0.63,13,0.0529$\pm$0.0032
7,0.83,5,0.0558$\pm$0.0056
7,1.25,0,0.0725$\pm$0.0056
10,0.42,35,0.0571$\pm$0.0019
10,0.5,31,0.0414$\pm$0.0023
10,0.63,16,0.0496$\pm$0.0054
10,0.83,4,0.0555$\pm$0.0045
10,1.25,0,0.083$\pm$0.0035
15,0.42,40,0.0417$\pm$0.0024
15,0.5,18,0.0375$\pm$0.002
15,0.63,6,0.0263$\pm$0.001
15,0.83,4,0.0171$\pm$0.0005
15,1.25,0,0.0091$\pm$0.0002
