,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Forced Partitioning,Piecewise Likelihood
0,0.736,0.7367,0.7135,0.6961,0.0
1,0.156,0.1816,0.2044,0.2357,0.0
2,0.084,0.0576,0.0586,0.0509,0.0001
3,0.02,0.0159,0.0168,0.0113,0.0011
4,0.002,0.0043,0.0048,0.0031,0.0046
5,0.002,0.0015,0.0014,0.0011,0.0148
6,0.0,0.0006,0.0004,0.0006,0.037
7,0.0,0.0003,0.0001,0.0005,0.0739
8,0.0,0.0001,0.0,0.0003,0.1201
9,0.0,0.0001,0.0,0.0002,0.1602
10,0.0,0.0001,0.0,0.0001,0.1762
11,0.0,0.0,0.0,0.0,0.1602
12,0.0,0.0,0.0,0.0,0.1201
13,0.0,0.0001,0.0,0.0,0.0739
14,0.0,0.0,0.0,0.0,0.037
15,0.0,0.0,0.0,0.0,0.0148
16,0.0,0.0,0.0,0.0,0.0046
17,0.0,0.0001,0.0,0.0,0.0011
18,0.0,0.0003,0.0,0.0,0.0002
19,0.0,0.0004,0.0,0.0,0.0
20,0.0,0.0002,0.0,0.0,0.0
