,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Perturb. Prob
0,0.19,0.1089,0.2224,0.096
1,0.192,0.1592,0.1732,0.1649
2,0.146,0.1703,0.1349,0.1715
3,0.102,0.1486,0.105,0.1442
4,0.084,0.1159,0.0818,0.1091
5,0.062,0.0851,0.0637,0.0785
6,0.054,0.0615,0.0496,0.0556
7,0.034,0.0451,0.0386,0.0396
8,0.028,0.0341,0.0301,0.0289
9,0.022,0.0261,0.0234,0.0217
10,0.016,0.019,0.0183,0.0169
11,0.018,0.0115,0.0142,0.0137
12,0.012,0.0066,0.0111,0.0116
13,0.006,0.0036,0.0086,0.0101
14,0.008,0.002,0.0067,0.009
15,0.008,0.0012,0.0052,0.008
16,0.008,0.0007,0.0041,0.0071
17,0.006,0.0004,0.0032,0.0059
18,0.002,0.0002,0.0025,0.0043
19,0.0,0.0001,0.0019,0.0026
20,0.002,0.0,0.0015,0.0009
