File Number,0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,,
1,0.695991955,0.23127915,0.048029543,0.013995383,0.004873862,0.002602441,0.001686391,0.000725764,0.000498701,0.000158215,0.000158594
,,,,,,,,,,,
2,0.747957643,0.171280363,0.05555704,0.017549531,0.003651457,0.000804745,0.000506957,0.000386032,0.000633159,0.001111592,0.00056148
,,,,,,,,,,,
3,0.727986437,0.191494173,0.053204768,0.020533475,0.003393628,0.00152149,0.000535149,5.12E-05,4.89E-06,0.001053935,0.00022081
,,,,,,,,,,,
4,0.739992153,0.186629219,0.050476205,0.015127818,0.00352223,0.001776912,0.000718139,9.30E-05,8.14E-05,0.001343734,0.00023921
,,,,,,,,,,,
5,0.740015554,0.180030525,0.050810452,0.016639119,0.006706564,0.001939116,0.001363453,0.001107602,0.000725333,0.000433357,0.000228925
,,,,,,,,,,,
6,0.414191759,0.267231219,0.153833045,0.075306784,0.046036012,0.019238284,0.016404926,0.005372379,0.000346841,1.77E-05,0.002021054
,,,,,,,,,,,
7,0.424006982,0.276289416,0.16473355,0.065979036,0.028063855,0.014988264,0.008625851,0.004241775,0.002231677,0.005280283,0.005559311
,,,,,,,,,,,
8,0.479184483,0.274847756,0.120536586,0.044146104,0.023133416,0.017315616,0.013731271,0.016326985,0.009332699,0.001445079,5.00E-09
,,,,,,,,,,,
9,0.476649509,0.215490861,0.144705664,0.073323551,0.035271937,0.019063341,0.012770806,0.012970221,0.002719495,0.006958321,7.63E-05
,,,,,,,,,,,
10,0.491770168,0.240257935,0.130338837,0.058229532,0.031033248,0.017704412,0.010900692,0.009978184,0.003660972,0.006048407,7.76E-05
,,,,,,,,,,,
11,0.338324198,0.154724195,0.200836382,0.142235152,0.070390642,0.031318937,0.014762809,0.008322072,0.008989021,0.014649958,0.015446633
,,,,,,,,,,,
12,0.418742938,0.168093931,0.186360486,0.117154936,0.055397614,0.02346873,0.011250448,0.007013634,0.004666737,0.003714216,0.004136331
,,,,,,,,,,,
13,0.353665818,0.163726734,0.193069027,0.121855576,0.055949684,0.027846977,0.016183176,0.012331386,0.015914257,0.024630086,0.01482728
,,,,,,,,,,,
14,0.345637928,0.132505585,0.191328412,0.149088321,0.080363172,0.037239377,0.017923725,0.010179864,0.008074685,0.009702083,0.017956847
,,,,,,,,,,,
15,0.362923693,0.13506463,0.181696326,0.137704598,0.075608263,0.036481572,0.018533316,0.011847328,0.011566288,0.012869769,0.015704217
,,,,,,,,,,,
16,0.309961363,0.143306539,0.153818291,0.1135625,0.082524739,0.065818504,0.04905021,0.028023916,0.024451047,0.017389094,0.012093796
,,,,,,,,,,,
17,0.175500854,0.144488215,0.21316065,0.178116787,0.110965976,0.061939876,0.037762915,0.026567618,0.017122284,0.015405595,0.018969229
,,,,,,,,,,,
18,0.314681964,0.140454712,0.180312882,0.138718106,0.086979908,0.050689566,0.031555176,0.0230737,0.014537551,0.010210179,0.008786256
,,,,,,,,,,,
19,0.30121946,0.145499154,0.155218265,0.116663932,0.086675015,0.050955863,0.041414105,0.042122685,0.022365848,0.011437545,0.026428128
,,,,,,,,,,,
20,0.325571354,0.151571477,0.185891784,0.116360847,0.061783021,0.03933931,0.038269659,0.027050934,0.02144275,0.009030495,0.023688369
,,,,,,,,,,,
21,0.205758704,0.120081373,0.172194522,0.149724187,0.106889801,0.081951774,0.059761116,0.039283238,0.023205632,0.021185898,0.019963756
,,,,,,,,,,,
22,0.254874436,0.19270229,0.168571072,0.098618051,0.059834849,0.048040653,0.054862607,0.054775843,0.030508348,0.01665077,0.020561082
,,,,,,,,,,,
23,0.224875754,0.183860127,0.18678243,0.126453653,0.077015447,0.056049974,0.049348517,0.041983297,0.027263866,0.013122545,0.013244389
,,,,,,,,,,,
24,0.236844142,0.162318088,0.180959698,0.121225929,0.068565957,0.047710608,0.048684743,0.041360628,0.025479494,0.027902387,0.038948327
,,,,,,,,,,,
25,0.284531968,0.140685398,0.162066259,0.115257537,0.071698222,0.055206902,0.053111875,0.051472407,0.028849643,0.017539544,0.019580245
