Lambda,Skew,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Lambda = 1.25,0,0.68,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
,1,0.678,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
,2,0.692,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
,3,0.69,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
,4,0.692,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Lambda = 0.625,0,0.468,0.455377145,8.7909E-05,1.051E-06,6.8213E-05,3.3858E-05,1.0738E-05,0.001241118,0.002715331,0.003548646,0.019910604,0.009589439,0.038436876,0.000978797,2.75E-07,0,0,0,0,0,0
,1,0.43,0.453602829,0.033730702,5.1731E-05,1.2269E-05,0.02241986,5.351E-06,0.002197939,0.012949865,0.034963948,0.001462699,3.21E-07,0.007824181,4.208E-06,1.7425E-05,0.000736673,1.9358E-05,5.83E-07,5.6E-08,0,0
,2,0.444,0.486997542,0.009907457,0.006957397,0.002192798,0.003244167,0.017703971,0.018146156,0.00819195,0.00260055,5.7605E-05,4.06E-07,1E-09,0,0,0,0,0,0,0,0
,3,0.452,0.505364584,0.006549612,0.002121702,0.001907599,0.003858188,0.007221577,0.013721755,0.006809024,0.000440851,5.106E-06,2E-09,0,0,0,0,0,0,0,0,0
,4,0.468,0.476644508,0.005798419,0.003498737,0.005957452,0.009671381,0.0150591,0.01132425,0.00380222,0.000241078,2.78E-06,7.4E-08,0,0,0,0,0,0,0,0,0
Lambda = 0.416,0,0.32,0.463505895,0.138685198,0.037256629,0.012112459,0.005894986,0.004366008,0.004156536,0.004275326,0.004421108,0.003870177,0.001324846,0.000126845,3.963E-06,2.5E-08,0,0,0,0,0,0
,1,0.334,0.384096582,0.162995585,0.062496375,0.026752881,0.013231575,0.00723318,0.004146563,0.0023859,0.001320186,0.000685087,0.000337098,0.00016405,8.1975E-05,4.1268E-05,1.959E-05,8.367E-06,2.914E-06,7.1E-07,1.07E-07,7E-09
,2,0.344,0.388653877,0.149031503,0.055753162,0.023385464,0.011310005,0.00609519,0.003631436,0.002374278,0.001692111,0.001310432,0.001094136,0.00098585,0.000958001,0.001026911,0.001222724,0.0015851,0.002017803,0.002136187,0.001421072,0.000314756
,3,0.336,0.320769911,0.185474761,0.079040785,0.030113681,0.011593237,0.004903092,0.002434201,0.001501491,0.001190104,0.001211656,0.001443366,0.001897843,0.002737952,0.00417282,0.005795208,0.006060641,0.003351396,0.000305968,1.887E-06,0
,4,0.346,0.459893081,0.103100719,0.033048554,0.014206254,0.007555176,0.004794367,0.003545625,0.002935938,0.00264068,0.002495018,0.002445314,0.002445594,0.002440214,0.002417381,0.00236217,0.002262184,0.002060788,0.001702863,0.001182441,0.000465639
Lambda = 0.3125,0,0.288,0.082451047,0.136529404,0.141600559,0.10955597,0.07176838,0.044024114,0.027453134,0.018557989,0.013948835,0.011612508,0.010394786,0.009620985,0.009045397,0.008684419,0.007886559,0.006294599,0.00224092,0.000313428,1.6966E-05,1E-09
,1,0.246,0.054385699,0.119469602,0.156925793,0.144533718,0.104675807,0.065618871,0.038768514,0.023177365,0.014677398,0.009952737,0.007169725,0.00543843,0.004189576,0.002963387,0.00153564,0.000450307,6.3585E-05,3.774E-06,7.2E-08,0
,2,0.256,0.131036341,0.184738835,0.1644209,0.110327402,0.06357919,0.034922464,0.019678536,0.011847193,0.00768027,0.005249728,0.003697894,0.002584716,0.001765022,0.001174328,0.000733735,0.000385274,0.000142792,3.2436E-05,2.886E-06,5.7E-08
,3,0.26,0.06019183,0.11385171,0.137474682,0.123655527,0.092142319,0.061925978,0.040182986,0.026490145,0.018433441,0.013928028,0.011566175,0.010381485,0.009564874,0.008352481,0.006258383,0.003650019,0.001506622,0.000389499,5.1273E-05,2.542E-06
,4,0.266,0.040975527,0.095533294,0.136307538,0.138889534,0.112574021,0.07893755,0.051043185,0.031770684,0.019482662,0.011891176,0.007263429,0.00441653,0.002602845,0.001402534,0.00063338,0.000219028,5.1218E-05,5.719E-06,1.46E-07,1E-09
Lambda = 0.25,0,0.224,0.060524955,0.124689509,0.157228953,0.143122804,0.105002554,0.067401429,0.040332023,0.023626653,0.014039131,0.008689172,0.005736269,0.004118793,0.003255992,0.002848331,0.002759522,0.002921837,0.003201131,0.003309532,0.002663741,0.000527669
