Lambda,Skew,0,1,2,3,4,,,,,,,,,,,,,,,,
Lambda = 1.25,0,0.68,0.242227170585864,0.055670090161597,0.013806790891584,0.004172229278172,0.001540935717292,0.000661632635683,0.000305340759977,0.000169187094525,0.00011183568559,8.31647295643591E-05,6.18707228818827E-05,4.93412260907253E-05,9.27352723540801E-05,0.000118723193294,5.15737623302224E-05,2.53662537976209E-05,0.000104863073266,0.000246980923293,0.000426734708053,7.34333247909748E-05
,1,0.678,0.252099638139937,0.052450109348485,0.011145305993047,0.002848991469711,0.001096600070464,0.000355280086577,0.000111780720323,8.74009297828709E-05,9.25922578370579E-05,9.43537134592452E-05,7.52179725428634E-05,7.36955834293682E-05,0.000123097305191,0.000198467675133,0.000177902909541,0.000264654844973,0.000329578351173,0.000216350317591,0.000131834231019,2.71480797836329E-05
,2,0.692,0.266288959025351,0.032349687474657,0.004582990766584,0.001036380400237,0.001003171926068,0.000811236910686,0.000478261706815,0.000195007817643,8.06933813904441E-05,6.98073156644509E-05,0.00020866405977,0.000335997478508,0.000215044917279,5.29670301226776E-05,3.18497023278778E-05,4.98524279911332E-05,8.35259025516411E-05,8.69180408020018E-05,3.63401739028421E-05,2.64354165188946E-06
,3,0.69,0.31296735973571,0.034479017664449,0.005689207609162,0.001012319003492,0.000476713247512,0.000355694597543,0.000226766156902,0.000219049685186,0.000178689146142,0.000196292806201,0.000225288523571,0.000239325409872,0.000230156552169,0.000204178735854,0.000168838895733,0.000108497790928,4.79656768300615E-05,1.16531391758961E-05,9.40280766536724E-07,1.43715817606382E-08
,4,0.692,0.259508751514691,0.03726949189167,0.00711143994316,0.001271732236866,0.000682000942178,0.000338111227615,0.000139957564145,8.73281632257755E-05,0.0001102101321,0.000120283187049,9.43850236038122E-05,0.000106884541656,0.000144643722044,0.000208561858844,0.000269750972729,0.000249326780673,0.000156623235963,8.69628589025804E-05,3.74264516874277E-05,6.12775119731431E-06
Lambda = 0.625,0,0.468,0.212863530064778,0.154045959516386,0.084952699117995,0.040711011200361,0.018467709716682,0.008401787353377,0.004001982709546,0.00208543880712,0.001259193771396,0.000909951349312,0.000766869041759,0.000705474568216,0.000667702687841,0.00062355514404,0.000552714724776,0.000442327683688,0.000301344346305,0.000163052515657,6.33805745071263E-05,1.43151062584313E-05
,1,0.43,0.254339955875279,0.164930490054763,0.080082018844604,0.035198757412958,0.015544633641954,0.007245284566038,0.003658444393177,0.002036718198901,0.001276704303688,0.000879956843822,0.000662129123028,0.000553672773678,0.00051037448993,0.000502762881,0.000519675747463,0.000537905491422,0.000537944670227,0.000495461486691,0.000352157052249,0.000134952149129
,2,0.444,0.220173082461625,0.173680374829897,0.090056648809263,0.038923017225199,0.015850133944887,0.006571911688566,0.002941613166647,0.001487217831004,0.000852778296558,0.000550572593803,0.000431367131708,0.00040834127692,0.000434188927793,0.000458495893692,0.000485180786692,0.000550054212871,0.000649489300645,0.000698017337951,0.000559665089827,0.000237849194454
,3,0.452,0.218640761838362,0.166708018042028,0.087695325233975,0.039709795485094,0.016921056292215,0.007262097188747,0.003145633941209,0.001467790669156,0.000779190068547,0.000485991651621,0.000387370740572,0.000351788612378,0.000315504075424,0.000280655992917,0.000312672094513,0.000403732130867,0.000491165971788,0.000800348599549,0.001108602124632,0.000732499246407
,4,0.468,0.200688742676875,0.163504253969373,0.089862737632901,0.041038641469988,0.017724964809412,0.007837980291119,0.003589749872536,0.001793709056011,0.000958960961125,0.000590314102841,0.000427638314238,0.000353581229753,0.000309857775962,0.000258338723832,0.000245408754938,0.000287999159003,0.000369990247634,0.000452075782639,0.000615109601192,0.001089945568626
Lambda = 0.416,0,0.32,0.218183405325628,0.187020455879307,0.120079348209097,0.067394956079131,0.035627470501561,0.018528903824841,0.009810175257907,0.005440994071873,0.003261499771885,0.002151986849145,0.001551105678329,0.001236610007882,0.001073197703027,0.00101252739458,0.001030467642028,0.001129660938287,0.001305083022308,0.001511700562503,0.001502509656053,0.001147941624629
,1,0.334,0.170213233628093,0.174901872343431,0.128804104590602,0.079403421474195,0.044830071206831,0.024622918314997,0.013659541775902,0.00783045719849,0.004733569435244,0.003072022849631,0.002160513392246,0.00166247546922,0.00142533607403,0.001383976456254,0.001473505736324,0.001570885001491,0.001571331787499,0.001396858471251,0.000942086771551,0.000341818022718
,2,0.344,0.175816298512372,0.175641673862185,0.126965680900904,0.076796859380619,0.042326016739029,0.022265802051628,0.011566153760877,0.00612025831676,0.003395657809829,0.00203028143695,0.001335852173348,0.000997689674187,0.00088262633106,0.000958560747331,0.001133691632538,0.001369300204742,0.001661262700552,0.001931798669063,0.001790093580663,0.001014441515365
,3,0.336,0.157728718651487,0.201834852530575,0.153247523755645,0.082408828642855,0.035705857384279,0.013895388355701,0.005321398947029,0.002161507191655,0.000999626347493,0.000569433860949,0.000426774659346,0.0004230773027,0.000530452906522,0.000805415434703,0.001259323736331,0.001786465295367,0.002268113019819,0.002063424415588,0.000539128965318,2.46885966365167E-05
,4,0.346,0.172993430927001,0.177985157294447,0.128599895470867,0.076578584565437,0.041098533244173,0.021402613421795,0.011414688179034,0.006370843839731,0.003747992240274,0.002330420167246,0.001539587342588,0.001104511698047,0.000893673062089,0.000812927226627,0.000849973871165,0.000978441169763,0.001147635596748,0.001454115487522,0.001655257918449,0.001041717276995
Lambda = 0.3125,0,0.288,0.010408302938024,0.040224160304426,0.088739746022773,0.12971134681371,0.138243775840892,0.115654086881774,0.080925883802057,0.050013503087499,0.028445444749751,0.015265217592053,0.007808257648202,0.003802856112574,0.001733209133799,0.000706994543018,0.000241738012082,6.34756823496171E-05,1.10457236988759E-05,9.33822019295299E-07,2.12027715924869E-08,8.65257286822332E-11
,1,0.246,0.047948205286609,0.114515148697225,0.156177913437113,0.145104711504623,0.104333713033483,0.064791082107865,0.038241738212444,0.022827252527322,0.014027467427078,0.008887075220887,0.005929713345394,0.004347904271571,0.003683285574219,0.003684583977928,0.004201641626456,0.004947724595195,0.005110994565376,0.003703087113191,0.001380637937652,0.000156119538374
,2,0.256,0.031230864225323,0.085174571478398,0.133272107521557,0.142354192041336,0.117868701629602,0.083493857156613,0.05435337641769,0.034103691530574,0.021246517503317,0.013413360999993,0.008718118307293,0.005913523717875,0.004214563917532,0.003119293005308,0.002324281662916,0.001682854311616,0.001038175319154,0.000404734946985,6.97044843743445E-05,3.50982254410316E-06
,3,0.26,0.076944689833323,0.149645531043187,0.170980049039812,0.13664092298976,0.086460491191492,0.04792575654814,0.025270937858777,0.0134599863793,0.007516489349238,0.004512779816249,0.003009178231725,0.002327191147911,0.002139981296481,0.002311580376766,0.002734609815606,0.003095470587207,0.002859677807654,0.001773642235043,0.000375006006458,1.60284458718268E-05
,4,0.266,0.03015554972495,0.078936072287481,0.122526637075003,0.132554383042069,0.111345666078175,0.079144428235287,0.051374561586561,0.032608721235737,0.021385733620343,0.015045194439835,0.011576766696086,0.009735235621421,0.008751901546346,0.008113703386397,0.00737853115656,0.006215757115927,0.004386173097524,0.002168743600583,0.000547763206951,4.84772467625413E-05
Lambda = 0.25,0,0.224,0.006425419619159,0.027770969931189,0.068374363079359,0.112581337100693,0.137247456197708,0.133070038339983,0.108131667353628,0.076467981680352,0.048376399688722,0.027980090254089,0.015057759900437,0.007655946279619,0.003729390147423,0.00175453633865,0.000797198532951,0.000350029720425,0.000148038077426,5.6874729916807E-05,1.9923323219878E-05,4.57970504706466E-06
,1,0.214,0.057341497246248,0.134660819781102,0.178491946149459,0.158298140390491,0.105307485311771,0.057687703910055,0.028485596193999,0.013963980918949,0.007477180464356,0.004680031931977,0.003504324280099,0.003106611456217,0.003152929573517,0.003526632302128,0.004192265711826,0.005060993644059,0.005811758956288,0.005749185602135,0.004077281507411,0.001423634667913
,2,0.224,0.050496212205871,0.115122631927156,0.15257692856741,0.139708959777879,0.100164650060344,0.06227723579592,0.036430336766347,0.021301165145896,0.012999993308038,0.008533969318079,0.006147087109101,0.004932392351515,0.004451360138047,0.004574811802845,0.005458366030954,0.007445462990613,0.010652763447996,0.013925836859518,0.013175005354561,0.005624831041912
,3,0.216,0.064026635896719,0.130002521275236,0.160193672852186,0.141955739793829,0.101335319967356,0.063449143670768,0.037142609713001,0.021316716569754,0.012474357506717,0.007687839112507,0.005107698352162,0.00372015193103,0.003030547498994,0.002817740625724,0.003030959537984,0.003771580531046,0.00515435071036,0.006870620687445,0.007226688012189,0.003685105754992
,4,0.218,0.024926837585152,0.077928740966059,0.136395722731977,0.157225303644323,0.132968581188664,0.089818784310509,0.052254233669421,0.028107839686668,0.014953383151638,0.008371863052683,0.005196963221089,0.003713347853488,0.003119158020289,0.003095086937498,0.003608451134651,0.0048628167271,0.007366024051216,0.01172665741926,0.013197863657283,0.003162340991034
