,#_diseases,cluster_size,dataset_size,p,q1,z,local_file_num,exponent,beta,dataset_num
0,4,1,37725,0.4305988124462578,0.2803304308764752,2.1040040449491753,1,1.4200521440647054,1.0,1
1,4,1,37725,0.4305988124462578,0.2803304308764752,2.1040040449491753,2,1.1269959508739142,1.0,1
2,4,1,37725,0.4305988124462578,0.2803304308764752,2.1040040449491753,3,1.6670888625492009,1.0,1
3,4,1,37725,0.4305988124462578,0.2803304308764752,2.1040040449491753,4,1.0562406055421767,1.0,1
4,4,1,37725,0.4305988124462578,0.2803304308764752,2.1040040449491753,5,1.0851738386236132,1.0,1
5,4,1,37725,0.4305988124462578,0.2803304308764752,2.1040040449491753,6,0.965576203634546,1.0,1
6,4,1,37725,0.4305988124462578,0.2803304308764752,2.1040040449491753,7,0.9882331692036332,1.0,1
7,4,1,37725,0.4305988124462578,0.2803304308764752,2.1040040449491753,8,0.9571028003686008,1.0,1
8,4,1,37725,0.4305988124462578,0.2803304308764752,2.1040040449491753,9,0.931937925958806,1.0,1
9,4,1,37725,0.4305988124462578,0.2803304308764752,2.1040040449491753,10,0.8914213128268801,1.0,1
10,6,1,11935,0.33862817193414074,0.699800231725316,1.6127181067646814,1,1.488171694842292,1.0,1
11,6,1,11935,0.33862817193414074,0.699800231725316,1.6127181067646814,2,2.396954118524727,1.0,1
12,6,1,11935,0.33862817193414074,0.699800231725316,1.6127181067646814,3,1.3200276543766658,1.0,1
13,6,1,11935,0.33862817193414074,0.699800231725316,1.6127181067646814,4,1.1921012477076829,1.0,1
14,6,1,11935,0.33862817193414074,0.699800231725316,1.6127181067646814,5,1.4148827808723516,1.0,1
15,6,1,11935,0.33862817193414074,0.699800231725316,1.6127181067646814,6,1.098544479201701,1.0,1
16,6,1,11935,0.33862817193414074,0.699800231725316,1.6127181067646814,7,0.8289224076973047,1.0,1
17,6,1,11935,0.33862817193414074,0.699800231725316,1.6127181067646814,8,1.9234263201636608,1.0,1
18,6,1,11935,0.33862817193414074,0.699800231725316,1.6127181067646814,9,1.6583224554635734,1.0,1
19,6,1,11935,0.33862817193414074,0.699800231725316,1.6127181067646814,10,2.1979264711373703,1.0,1
20,8,6,12625,0.7067212554169435,0.2890761373919196,3.1780146189720715,1,1.6364171863867671,0.16666666666666666,1
21,8,6,12625,0.7067212554169435,0.2890761373919196,3.1780146189720715,2,0.9274160896657468,0.16666666666666666,1
22,8,6,12625,0.7067212554169435,0.2890761373919196,3.1780146189720715,3,1.6864661347545251,0.16666666666666666,1
23,8,6,12625,0.7067212554169435,0.2890761373919196,3.1780146189720715,4,0.9978881127850756,0.16666666666666666,1
24,8,6,12625,0.7067212554169435,0.2890761373919196,3.1780146189720715,5,1.8113663426482864,0.16666666666666666,1
25,8,6,12625,0.7067212554169435,0.2890761373919196,3.1780146189720715,6,1.6252758527408533,0.16666666666666666,1
26,8,6,12625,0.7067212554169435,0.2890761373919196,3.1780146189720715,7,1.1200082631933934,0.16666666666666666,1
27,8,6,12625,0.7067212554169435,0.2890761373919196,3.1780146189720715,8,0.9030159029817421,0.16666666666666666,1
28,8,6,12625,0.7067212554169435,0.2890761373919196,3.1780146189720715,9,1.2019389463583816,0.16666666666666666,1
29,8,6,12625,0.7067212554169435,0.2890761373919196,3.1780146189720715,10,0.8486350240886271,0.16666666666666666,1
30,10,7,49310,0.3285130220238133,0.4906457981974876,1.978995201979764,1,1.3116077065265448,0.14285714285714285,1
31,10,7,49310,0.3285130220238133,0.4906457981974876,1.978995201979764,2,0.8308401801236839,0.14285714285714285,1
32,10,7,49310,0.3285130220238133,0.4906457981974876,1.978995201979764,3,1.9634570533559716,0.14285714285714285,1
33,10,7,49310,0.3285130220238133,0.4906457981974876,1.978995201979764,4,2.3319093397111503,0.14285714285714285,1
34,10,7,49310,0.3285130220238133,0.4906457981974876,1.978995201979764,5,1.3498597915202195,0.14285714285714285,1
35,10,7,49310,0.3285130220238133,0.4906457981974876,1.978995201979764,6,1.9133510120912591,0.14285714285714285,1
36,10,7,49310,0.3285130220238133,0.4906457981974876,1.978995201979764,7,2.1792344851685232,0.14285714285714285,1
37,10,7,49310,0.3285130220238133,0.4906457981974876,1.978995201979764,8,1.7990977325340132,0.14285714285714285,1
