prob_non_robust,prob_robust
1.682989009565847e-08,0.0005759805328550907
1.4001503080098865e-09,5.902733972040066e-05
3.164292635793767e-09,9.097007630218175e-05
4.920414499448984e-10,1.610380367303319e-05
3.451603122731196e-10,2.2381221013195404e-05
2.0453966820647414e-11,1.9057008719258707e-06
4.5091821342134445e-10,1.4117599644350771e-05
4.9944324107996913e-11,2.076425346045843e-06
1.642978981042432e-09,6.187610968863726e-05
1.497420247574672e-10,6.386175782598669e-06
2.342666583160502e-10,1.102682051616374e-05
3.990743777026483e-11,1.965860409190473e-06
6.949688520906018e-11,4.566876246461507e-06
4.511701387313463e-12,3.9161801569263743e-07
6.885339818728308e-11,3.2503705941957274e-06
8.354722996043697e-12,4.814606552740163e-07
2.2348586614938486e-09,7.671906625569929e-05
3.91237376641778e-10,1.565007908406624e-05
9.688712827002179e-10,2.8340727751215383e-05
3.170209975107765e-10,9.98639474967679e-06
8.69430198386679e-11,5.344779318151169e-06
1.084147343585604e-11,9.05875591186742e-07
2.6189807466396475e-10,7.885401299501623e-06
6.104042710924105e-11,2.30859144834493e-06
2.181728927262705e-10,8.241732294868691e-06
4.184170556831801e-11,1.693184150189231e-06
7.172985051037457e-11,3.4352847761942283e-06
2.5712256013076408e-11,1.2190820546211676e-06
1.7505688964250907e-11,1.0905993777664015e-06
2.3913938635950875e-12,1.8615576385103648e-07
3.9990782990331036e-11,1.8154981833323887e-06
1.0210887206225093e-11,5.352929993831817e-07
1.1280699625393486e-09,4.335624924616416e-05
2.420576412679649e-10,1.0677549143899171e-05
3.196297303760546e-10,1.1838468104917244e-05
1.2819219941712524e-10,5.036164252837887e-06
4.1732312659877645e-11,2.729343962997297e-06
6.378499527569276e-12,5.584749485496297e-07
8.216089271344659e-11,2.976380201067718e-06
2.3471610700543816e-11,1.0520062888253068e-06
1.2160464472978621e-10,5.09085390762664e-06
2.8585858416863455e-11,1.262649966208255e-06
2.6130300910852083e-11,1.5684511233881661e-06
1.1480932267593825e-11,6.719668208052661e-07
9.278554862512088e-12,6.087198619175999e-07
1.5536197326544857e-12,1.2543980239977773e-07
1.3853392898748784e-11,7.49004039763762e-07
4.33562996159798e-12,2.666162106853882e-07
1.4979758704440065e-10,5.774936423679309e-06
6.763702155690737e-11,2.8309676383445745e-06
9.786707567926677e-11,3.688144664608352e-06
8.259389313007712e-11,3.123058705519935e-06
1.0512023423568488e-11,6.517848671861173e-07
3.3808763745014124e-12,2.654712665734974e-07
4.7719916769513556e-11,1.6624605383750107e-06
2.868628553276648e-11,1.1696316106967664e-06
1.6148007622601893e-11,6.78088122703194e-07
7.987611181518962e-12,3.347698188712916e-07
8.000808103037327e-12,4.886337143587259e-07
7.397134124033376e-12,4.1670440521352664e-07
2.337191011831118e-12,1.4536621244242422e-07
8.234846183476058e-13,5.962785494368337e-08
8.046197336357182e-12,4.183570562470595e-07
5.2988744841416005e-12,2.9642669559516557e-07
2.056944137175868e-09,6.954919975543838e-05
4.134154842423613e-10,1.6300607738485004e-05
2.0122283291888208e-09,5.751037513218018e-05
7.559153584509133e-10,2.3283183593926913e-05
4.2185390200446665e-11,2.702514967478873e-06
6.039342025967262e-12,5.262660070282044e-07
2.8674667852457646e-10,8.925005721832901e-06
7.672866110144368e-11,3.002134994481247e-06
1.8848961288900525e-10,7.471491946945954e-06
4.15020909233605e-11,1.7635649323558402e-06
7.032978292512032e-10,2.7344498535710416e-05
2.894366351834721e-10,1.1149068611595532e-05
7.972981481318827e-12,5.514467420436721e-07
1.2504508437000972e-12,1.0814669418217583e-07
2.0670651909993724e-10,8.060324716740978e-06
6.059429136456999e-11,2.7305285026031825e-06
4.348724351540195e-10,1.4408153592849302e-05
1.8391748410967553e-10,6.721834439736339e-06
9.809283869115058e-10,2.7866301306828453e-05
7.754076984442772e-10,2.245656433546135e-05
1.6917903314571555e-11,1.0037713582063507e-06
5.096487803592968e-12,3.8908082919242813e-07
2.6515726134370557e-10,7.753398941131491e-06
1.49299943752854e-10,5.19136622210249e-06
3.984986051727255e-11,1.5478309443943856e-06
1.8463169471999653e-11,7.272361674609876e-07
3.4284618457978803e-10,1.3249609892630656e-05
2.969001656389108e-10,1.0753244956676491e-05
3.197460760441033e-12,2.0481901188359284e-07
1.0552320843079584e-12,7.995539306145195e-08
1.9114339802799744e-10,7.002226673208351e-06
1.1790541060678124e-10,4.721697546232959e-06
1.880762720918357e-10,6.8607627872876e-06
9.749618695438623e-11,3.864190534518314e-06
2.7727105967371575e-10,9.807978774278072e-06
2.686518489687932e-10,9.542235900730673e-06
6.957775715588145e-12,4.31895789433323e-07
2.5691375788460226e-12,2.0211132544251766e-07
7.1272587063767e-11,2.465882711980972e-06
4.918935505941909e-11,1.9932813294098928e-06
1.9031031744135855e-11,8.05584930713366e-07
1.0807724611488793e-11,4.569513080274221e-07
1.070113790128034e-10,5.097145311192395e-06
1.1358829109538602e-10,4.994248051803448e-06
1.4520865754802989e-12,9.632481243512093e-08
5.873916387831498e-13,4.5396494134801055e-08
5.6733777508302845e-11,2.4341099141800854e-06
4.2895192366035685e-11,1.981567317861068e-06
3.976247335115319e-11,1.4213092940097442e-06
4.337344414614468e-11,1.5934650678884699e-06
1.3516510495239174e-10,4.752396260793599e-06
2.7557941449765996e-10,9.203459378501847e-06
2.7903256620712214e-12,1.604152533399351e-07
2.1680471614362746e-12,1.494256536469417e-07
6.590640942015119e-11,2.1421804090565128e-06
9.571349008554773e-11,3.4468314661626606e-06
4.023478794824546e-12,1.6688892833587827e-07
4.8080674170635484e-12,1.8843168849033118e-07
5.2166296375780385e-11,2.46979065464132e-06
1.1651732483513363e-10,4.8169380372806815e-06
5.823404778676884e-13,3.577707763712105e-08
4.956888200931687e-13,3.3562695185537445e-08
5.24622400063656e-11,2.1145785021777776e-06
8.346620044692054e-11,3.4265753071319515e-06
