prob_non_robust,prob_robust_w0.2,prob_robust_w1
1.68E-08,5.76E-04,2.48E-03
1.40E-09,5.90E-05,4.36E-04
3.16E-09,9.10E-05,2.54E-04
4.92E-10,1.61E-05,6.45E-05
3.45E-10,2.24E-05,2.56E-04
2.05E-11,1.91E-06,4.51E-05
4.51E-10,1.41E-05,7.19E-05
4.99E-11,2.08E-06,1.83E-05
1.64E-09,6.19E-05,3.47E-04
1.50E-10,6.39E-06,6.10E-05
2.34E-10,1.10E-05,7.60E-05
3.99E-11,1.97E-06,1.93E-05
6.95E-11,4.57E-06,5.58E-05
4.51E-12,3.92E-07,9.81E-06
6.89E-11,3.25E-06,3.34E-05
8.35E-12,4.81E-07,8.48E-06
2.23E-09,7.67E-05,3.31E-04
3.91E-10,1.57E-05,9.56E-05
9.69E-10,2.83E-05,7.88E-05
3.17E-10,9.99E-06,3.29E-05
8.69E-11,5.34E-06,5.20E-05
1.08E-11,9.06E-07,1.51E-05
2.62E-10,7.89E-06,3.39E-05
6.10E-11,2.31E-06,1.42E-05
2.18E-10,8.24E-06,4.63E-05
4.18E-11,1.69E-06,1.34E-05
7.17E-11,3.44E-06,2.36E-05
2.57E-11,1.22E-06,9.84E-06
1.75E-11,1.09E-06,1.13E-05
2.39E-12,1.86E-07,3.27E-06
4.00E-11,1.82E-06,1.58E-05
1.02E-11,5.35E-07,6.57E-06
1.13E-09,4.34E-05,2.83E-04
2.42E-10,1.07E-05,9.38E-05
3.20E-10,1.18E-05,7.02E-05
1.28E-10,5.04E-06,3.36E-05
4.17E-11,2.73E-06,3.71E-05
6.38E-12,5.58E-07,1.23E-05
8.22E-11,2.98E-06,2.52E-05
2.35E-11,1.05E-06,1.20E-05
1.22E-10,5.09E-06,3.96E-05
2.86E-11,1.26E-06,1.31E-05
2.61E-11,1.57E-06,2.10E-05
1.15E-11,6.72E-07,1.01E-05
9.28E-12,6.09E-07,8.06E-06
1.55E-12,1.25E-07,2.67E-06
1.39E-11,7.49E-07,1.17E-05
4.34E-12,2.67E-07,5.59E-06
1.50E-10,5.77E-06,3.77E-05
6.76E-11,2.83E-06,2.06E-05
9.79E-11,3.69E-06,2.18E-05
8.26E-11,3.12E-06,1.71E-05
1.05E-11,6.52E-07,7.52E-06
3.38E-12,2.65E-07,4.10E-06
4.77E-11,1.66E-06,1.19E-05
2.87E-11,1.17E-06,9.34E-06
1.61E-11,6.78E-07,5.29E-06
7.99E-12,3.35E-07,2.88E-06
8.00E-12,4.89E-07,6.52E-06
7.40E-12,4.17E-07,5.13E-06
2.34E-12,1.45E-07,1.64E-06
8.23E-13,5.96E-08,8.92E-07
8.05E-12,4.18E-07,5.51E-06
5.30E-12,2.96E-07,4.34E-06
2.06E-09,6.95E-05,3.44E-04
4.13E-10,1.63E-05,1.10E-04
2.01E-09,5.75E-05,1.61E-04
7.56E-10,2.33E-05,7.45E-05
4.22E-11,2.70E-06,3.56E-05
6.04E-12,5.26E-07,1.14E-05
2.87E-10,8.93E-06,4.55E-05
7.67E-11,3.00E-06,2.11E-05
1.88E-10,7.47E-06,4.82E-05
4.15E-11,1.76E-06,1.55E-05
7.03E-10,2.73E-05,1.33E-04
2.89E-10,1.11E-05,6.18E-05
7.97E-12,5.51E-07,7.74E-06
1.25E-12,1.08E-07,2.49E-06
2.07E-10,8.06E-06,5.86E-05
6.06E-11,2.73E-06,2.72E-05
4.35E-10,1.44E-05,6.27E-05
1.84E-10,6.72E-06,3.31E-05
9.81E-10,2.79E-05,6.81E-05
7.75E-10,2.25E-05,5.19E-05
1.69E-11,1.00E-06,9.88E-06
5.10E-12,3.89E-07,5.22E-06
2.65E-10,7.75E-06,2.93E-05
1.49E-10,5.19E-06,2.23E-05
3.98E-11,1.55E-06,8.79E-06
1.85E-11,7.27E-07,4.64E-06
3.43E-10,1.32E-05,5.66E-05
2.97E-10,1.08E-05,4.31E-05
3.20E-12,2.05E-07,2.15E-06
1.06E-12,8.00E-08,1.14E-06
1.91E-10,7.00E-06,3.78E-05
1.18E-10,4.72E-06,2.88E-05
1.88E-10,6.86E-06,4.42E-05
9.75E-11,3.86E-06,2.68E-05
2.77E-10,9.81E-06,5.00E-05
2.69E-10,9.54E-06,4.37E-05
6.96E-12,4.32E-07,5.79E-06
2.57E-12,2.02E-07,3.51E-06
7.13E-11,2.47E-06,1.79E-05
4.92E-11,1.99E-06,1.56E-05
1.90E-11,8.06E-07,6.19E-06
1.08E-11,4.57E-07,3.75E-06
1.07E-10,5.10E-06,4.15E-05
1.14E-10,4.99E-06,3.62E-05
1.45E-12,9.63E-08,1.26E-06
5.87E-13,4.54E-08,7.63E-07
5.67E-11,2.43E-06,2.31E-05
4.29E-11,1.98E-06,2.02E-05
3.98E-11,1.42E-06,8.06E-06
4.34E-11,1.59E-06,8.03E-06
1.35E-10,4.75E-06,2.12E-05
2.76E-10,9.20E-06,3.04E-05
2.79E-12,1.60E-07,1.61E-06
2.17E-12,1.49E-07,1.60E-06
6.59E-11,2.14E-06,1.15E-05
9.57E-11,3.45E-06,1.66E-05
4.02E-12,1.67E-07,1.13E-06
4.81E-12,1.88E-07,1.12E-06
5.22E-11,2.47E-06,1.76E-05
1.17E-10,4.82E-06,2.53E-05
5.82E-13,3.58E-08,3.49E-07
4.96E-13,3.36E-08,3.48E-07
5.25E-11,2.11E-06,1.49E-05
8.35E-11,3.43E-06,2.14E-05
