,#_diseases,dataset_num,exponent,exact_zeros,approx_zeros,difference
0,15,10,1.25,0,0,0
1,15,10,0.8,0,32733,32733
2,15,10,0.63,0,32694,32694
3,15,10,0.5,0,32691,32691
4,15,10,0.42,0,32675,32675
5,15,20,1.25,0,0,0
6,15,20,0.8,0,50,50
7,15,20,0.63,0,16326,16326
8,15,20,0.5,0,32696,32696
9,15,20,0.42,0,32698,32698
10,15,30,1.25,0,0,0
11,15,30,0.8,0,238,238
12,15,30,0.63,0,32693,32693
13,15,30,0.5,0,16348,16348
14,15,30,0.42,0,32694,32694
15,15,40,1.25,0,0,0
16,15,40,0.8,0,2019,2019
17,15,40,0.63,0,32727,32727
18,15,40,0.5,0,32682,32682
19,15,40,0.42,16,194,178
20,15,50,1.25,0,0,0
21,15,50,0.8,0,996,996
22,15,50,0.63,0,32677,32677
23,15,50,0.5,0,32665,32665
24,15,50,0.42,0,32691,32691
25,15,51,1.25,0,0,0
26,15,51,0.8,0,16347,16347
27,15,51,0.63,0,196,196
28,15,51,0.5,0,32665,32665
29,15,51,0.42,0,32681,32681
30,15,52,1.25,0,0,0
31,15,52,0.8,0,4068,4068
32,15,52,0.63,0,32658,32658
33,15,52,0.5,0,32680,32680
34,15,52,0.42,0,32683,32683
35,15,53,1.25,0,0,0
36,15,53,0.8,0,490,490
37,15,53,0.63,0,32687,32687
38,15,53,0.5,0,16311,16311
39,15,53,0.42,0,32678,32678
40,15,54,1.25,0,0,0
41,15,54,0.8,0,0,0
42,15,54,0.63,0,16330,16330
43,15,54,0.5,0,32706,32706
44,15,54,0.42,0,32675,32675
45,15,55,1.25,0,0,0
46,15,55,0.8,0,4,4
47,15,55,0.63,0,32728,32728
48,15,55,0.5,0,32693,32693
49,15,55,0.42,0,32669,32669
50,15,56,1.25,0,0,0
51,15,56,0.8,0,2024,2024
52,15,56,0.63,0,32690,32690
53,15,56,0.5,0,32694,32694
54,15,56,0.42,0,32702,32702
55,15,57,1.25,0,0,0
56,15,57,0.8,0,258,258
57,15,57,0.63,0,32702,32702
58,15,57,0.5,0,32682,32682
59,15,57,0.42,0,32663,32663
60,15,58,1.25,0,0,0
61,15,58,0.8,0,0,0
62,15,58,0.63,0,32703,32703
63,15,58,0.5,0,16319,16319
64,15,58,0.42,0,16319,16319
65,15,59,1.25,0,0,0
66,15,59,0.8,0,16349,16349
67,15,59,0.63,0,16330,16330
68,15,59,0.5,0,192,192
69,15,59,0.42,0,199,199
70,15,60,1.25,0,0,0
71,15,60,0.8,0,32737,32737
72,15,60,0.63,0,16340,16340
73,15,60,0.5,0,16349,16349
74,15,60,0.42,0,32690,32690
