,#_diseases,dataset_num,exponent,exact_zeros,approx_zeros,difference
0,4,1,1.25,0,0,0
1,4,1,0.8,0,0,0
2,4,1,0.63,0,0,0
3,4,1,0.5,4,4,0
4,4,1,0.42,1,1,0
5,7,1,1.25,0,0,0
6,7,1,0.8,0,0,0
7,7,1,0.63,0,47,47
8,7,1,0.5,0,47,47
9,7,1,0.42,0,0,0
10,10,1,1.25,0,0,0
11,10,1,0.8,0,0,0
12,10,1,0.63,0,981,981
13,10,1,0.5,0,955,955
14,10,1,0.42,0,960,960
15,4,2,1.25,0,0,0
16,4,2,0.8,3,3,0
17,4,2,0.63,0,0,0
18,4,2,0.5,4,4,0
19,4,2,0.42,4,4,0
20,7,2,1.25,0,0,0
21,7,2,0.8,0,103,103
22,7,2,0.63,30,91,61
23,7,2,0.5,0,86,86
24,7,2,0.42,0,0,0
25,10,2,1.25,0,0,0
26,10,2,0.8,0,0,0
27,10,2,0.63,0,231,231
28,10,2,0.5,0,992,992
29,10,2,0.42,0,988,988
30,4,3,1.25,0,0,0
31,4,3,0.8,0,1,1
32,4,3,0.63,0,0,0
33,4,3,0.5,0,0,0
34,4,3,0.42,0,0,0
35,7,3,1.25,0,0,0
36,7,3,0.8,8,44,36
37,7,3,0.63,24,97,73
38,7,3,0.5,0,94,94
39,7,3,0.42,0,0,0
40,10,3,1.25,0,0,0
41,10,3,0.8,0,0,0
42,10,3,0.63,0,987,987
43,10,3,0.5,0,967,967
44,10,3,0.42,0,977,977
45,4,4,1.25,0,0,0
46,4,4,0.8,0,0,0
47,4,4,0.63,0,0,0
48,4,4,0.5,1,1,0
49,4,4,0.42,1,1,0
50,7,4,1.25,0,0,0
51,7,4,0.8,0,0,0
52,7,4,0.63,0,109,109
53,7,4,0.5,0,102,102
54,7,4,0.42,0,0,0
55,10,4,1.25,0,0,0
56,10,4,0.8,0,0,0
57,10,4,0.63,0,989,989
58,10,4,0.5,0,975,975
59,10,4,0.42,0,475,475
60,4,5,1.25,0,0,0
61,4,5,0.8,6,6,0
62,4,5,0.63,3,3,0
63,4,5,0.5,3,3,0
64,4,5,0.42,4,4,0
65,7,5,1.25,0,0,0
66,7,5,0.8,0,0,0
67,7,5,0.63,0,108,108
68,7,5,0.5,0,97,97
69,7,5,0.42,0,0,0
70,10,5,1.25,0,0,0
71,10,5,0.8,0,0,0
72,10,5,0.63,0,993,993
73,10,5,0.5,0,988,988
74,10,5,0.42,0,981,981
75,4,6,1.25,0,0,0
76,4,6,0.8,0,0,0
77,4,6,0.63,5,5,0
78,4,6,0.5,3,3,0
79,4,6,0.42,2,2,0
80,7,6,1.25,0,0,0
81,7,6,0.8,0,0,0
82,7,6,0.63,0,104,104
83,7,6,0.5,0,103,103
84,7,6,0.42,0,0,0
85,10,6,1.25,0,0,0
86,10,6,0.8,0,0,0
87,10,6,0.63,0,996,996
88,10,6,0.5,0,235,235
89,10,6,0.42,0,994,994
90,4,7,1.25,0,0,0
91,4,7,0.8,0,0,0
