,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
0,4,1,0,0,0,0,1
1,4,2,0,0,0,5,1
2,4,3,0,0,0,0,1
3,4,4,4,0,4,0,1
4,4,5,1,0,1,0,1
5,7,1,0,0,0,0,1
6,7,2,0,0,0,3,1
7,7,3,0,0,0,34,1
8,7,4,0,0,0,31,1
9,7,5,0,0,0,0,1
10,10,1,0,0,0,0,1
11,10,2,0,0,0,0,1
12,10,3,0,0,0,951,1
13,10,4,0,0,0,931,1
14,10,5,0,0,0,919,1
15,4,1,0,0,0,0,2
16,4,2,3,0,3,2,2
17,4,3,0,0,0,3,2
18,4,4,4,0,4,0,2
19,4,5,4,0,4,0,2
20,7,1,0,0,0,0,2
21,7,2,0,0,0,96,2
22,7,3,30,0,30,57,2
23,7,4,0,0,0,83,2
24,7,5,0,0,0,0,2
25,10,1,0,0,0,0,2
26,10,2,0,0,0,0,2
27,10,3,0,0,0,205,2
28,10,4,0,0,0,940,2
29,10,5,0,0,0,929,2
30,4,1,0,0,0,0,3
31,4,2,0,0,0,0,3
32,4,3,0,0,0,5,3
33,4,4,0,0,0,3,3
34,4,5,0,0,0,3,3
35,7,1,0,0,0,0,3
36,7,2,8,0,8,33,3
37,7,3,24,0,24,62,3
38,7,4,0,0,0,79,3
39,7,5,0,0,0,0,3
40,10,1,0,0,0,0,3
41,10,2,0,0,0,0,3
42,10,3,0,0,0,955,3
43,10,4,0,0,0,934,3
44,10,5,0,0,0,923,3
45,4,1,0,0,0,0,4
46,4,2,0,0,0,0,4
47,4,3,0,0,0,3,4
48,4,4,1,0,1,2,4
49,4,5,1,0,1,2,4
50,7,1,0,0,0,0,4
51,7,2,0,0,0,0,4
52,7,3,0,0,0,93,4
53,7,4,0,0,0,87,4
54,7,5,0,0,0,0,4
55,10,1,0,0,0,0,4
56,10,2,0,0,0,0,4
57,10,3,0,0,0,953,4
58,10,4,0,0,0,941,4
59,10,5,0,0,0,417,4
60,4,1,0,0,0,0,5
61,4,2,6,0,6,0,5
62,4,3,3,0,3,0,5
63,4,4,3,0,3,0,5
64,4,5,4,0,4,0,5
65,7,1,0,0,0,0,5
66,7,2,0,0,0,0,5
67,7,3,0,0,0,95,5
68,7,4,0,0,0,82,5
69,7,5,0,0,0,0,5
70,10,1,0,0,0,0,5
71,10,2,0,0,0,0,5
72,10,3,0,0,0,948,5
73,10,4,0,0,0,940,5
74,10,5,0,0,0,910,5
75,4,1,0,0,0,0,6
76,4,2,0,0,0,3,6
77,4,3,5,0,5,0,6
78,4,4,3,0,3,0,6
79,4,5,2,0,2,0,6
80,7,1,0,0,0,0,6
81,7,2,0,0,0,4,6
82,7,3,0,0,0,90,6
83,7,4,0,0,0,85,6
84,7,5,0,0,0,0,6
85,10,1,0,0,0,0,6
86,10,2,0,0,0,0,6
87,10,3,0,0,0,956,6
88,10,4,0,0,0,195,6
89,10,5,0,0,0,932,6
90,4,1,0,0,0,0,7
91,4,2,0,0,0,4,7
92,4,3,2,0,2,2,7
93,4,4,1,0,1,3,7
94,4,5,2,0,2,0,7
95,7,1,0,0,0,0,7
96,7,2,0,0,0,0,7
97,7,3,0,0,0,86,7
98,7,4,0,0,0,83,7
99,7,5,0,0,0,0,7
100,10,1,0,0,0,0,7
101,10,2,0,0,0,0,7
102,10,3,64,0,64,384,7
103,10,4,0,0,0,938,7
104,10,5,0,0,0,929,7
105,4,1,0,0,0,0,8
106,4,2,1,0,1,0,8
107,4,3,0,0,0,3,8
108,4,4,1,0,1,1,8
109,4,5,2,0,2,0,8
110,7,1,0,0,0,0,8
111,7,2,0,0,0,5,8
112,7,3,0,0,0,92,8
113,7,4,0,0,0,83,8
114,7,5,0,0,0,0,8
115,10,1,0,0,0,0,8
116,10,2,0,0,0,0,8
117,10,3,0,0,0,952,8
118,10,4,0,0,0,445,8
119,10,5,0,0,0,925,8
120,4,1,0,0,0,0,9
121,4,2,0,0,0,0,9
122,4,3,0,0,0,0,9
123,4,4,0,0,0,5,9
124,4,5,0,0,0,1,9
125,7,1,0,0,0,0,9
126,7,2,0,0,0,5,9
127,7,3,0,0,0,93,9
128,7,4,0,0,0,83,9
129,7,5,0,0,0,0,9
130,10,1,0,0,0,0,9
131,10,2,0,0,0,0,9
132,10,3,448,0,448,504,9
133,10,4,0,0,0,934,9
134,10,5,0,0,0,920,9
135,4,1,0,0,0,0,10
136,4,2,0,0,0,0,10
137,4,3,0,0,0,0,10
138,4,4,0,0,0,5,10
139,4,5,4,0,4,0,10
140,7,1,0,0,0,0,10
141,7,2,0,0,0,38,10
142,7,3,0,0,0,87,10
143,7,4,0,0,0,87,10
144,7,5,0,0,0,0,10
145,10,1,0,0,0,0,10
146,10,2,0,0,0,0,10
147,10,3,0,0,0,951,10
148,10,4,0,0,0,937,10
149,10,5,0,0,0,919,10
150,4,1,0,0,0,0,11
151,4,2,0,0,0,6,11
152,4,3,4,0,4,1,11
153,4,4,1,0,1,0,11
154,4,5,1,0,1,0,11
155,7,1,0,0,0,0,11
156,7,2,0,0,0,0,11
157,7,3,8,0,8,26,11
158,7,4,16,0,16,69,11
159,7,5,0,0,0,0,11
160,10,1,0,0,0,0,11
161,10,2,0,0,0,0,11
162,10,3,0,0,0,452,11
163,10,4,0,0,0,938,11
164,10,5,0,0,0,934,11
165,4,1,0,0,0,0,12
166,4,2,1,0,1,0,12
167,4,3,0,0,0,4,12
168,4,4,1,0,1,0,12
169,4,5,1,0,1,0,12
170,7,1,0,0,0,0,12
171,7,2,0,0,0,40,12
172,7,3,0,0,0,90,12
173,7,4,0,0,0,12,12
174,7,5,0,0,0,0,12
175,10,1,0,0,0,0,12
176,10,2,0,0,0,0,12
177,10,3,0,0,0,449,12
178,10,4,0,0,0,933,12
179,10,5,0,0,0,922,12
180,4,1,0,0,0,0,13
181,4,2,4,0,4,2,13
182,4,3,3,0,3,1,13
183,4,4,2,0,2,1,13
184,4,5,0,0,0,0,13
185,7,1,0,0,0,0,13
186,7,2,0,0,0,14,13
187,7,3,0,0,0,88,13
188,7,4,16,0,16,71,13
189,7,5,0,0,0,0,13
190,10,1,0,0,0,0,13
191,10,2,0,0,0,0,13
192,10,3,0,0,0,947,13
193,10,4,0,0,0,930,13
194,10,5,0,0,0,927,13
195,4,1,0,0,0,0,14
196,4,2,0,0,0,4,14
197,4,3,3,0,3,1,14
198,4,4,2,0,2,0,14
199,4,5,5,0,5,0,14
200,7,1,0,0,0,0,14
201,7,2,0,0,0,2,14
202,7,3,0,0,0,37,14
203,7,4,0,0,0,88,14
204,7,5,0,0,0,0,14
205,10,1,0,0,0,0,14
206,10,2,0,0,0,0,14
207,10,3,0,0,0,951,14
208,10,4,0,0,0,933,14
209,10,5,0,0,0,918,14
210,4,1,0,0,0,0,15
211,4,2,0,0,0,0,15
212,4,3,4,0,4,1,15
213,4,4,2,0,2,1,15
214,4,5,0,0,0,2,15
215,7,1,0,0,0,0,15
216,7,2,0,0,0,14,15
217,7,3,0,0,0,39,15
218,7,4,0,0,0,0,15
219,7,5,0,0,0,0,15
220,10,1,0,0,0,0,15
221,10,2,0,0,0,0,15
222,10,3,0,0,0,949,15
