,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
0,4,1,0,0,0,0,1
1,4,2,0,0,0,5,1
2,4,3,0,0,0,0,1
3,4,4,4,0,4,0,1
4,4,5,1,0,1,0,1
5,7,1,0,0,0,0,1
6,7,2,0,0,0,3,1
7,7,3,47,16,31,3,1
8,7,4,47,21,26,5,1
9,7,5,0,0,0,0,1
10,10,1,0,0,0,0,1
11,10,2,0,0,0,0,1
12,10,3,981,49,932,19,1
13,10,4,955,61,894,37,1
14,10,5,960,80,880,39,1
15,4,1,0,0,0,0,2
16,4,2,3,0,3,2,2
17,4,3,0,0,0,3,2
18,4,4,4,0,4,0,2
19,4,5,4,0,4,0,2
20,7,1,0,0,0,0,2
21,7,2,103,17,86,10,2
22,7,3,91,20,71,16,2
23,7,4,86,19,67,16,2
24,7,5,0,0,0,0,2
25,10,1,0,0,0,0,2
26,10,2,0,0,0,0,2
27,10,3,231,32,199,6,2
28,10,4,992,64,928,12,2
29,10,5,988,74,914,15,2
30,4,1,0,0,0,0,3
31,4,2,1,1,0,0,3
32,4,3,0,0,0,5,3
33,4,4,0,0,0,3,3
34,4,5,0,0,0,3,3
35,7,1,0,0,0,0,3
36,7,2,44,7,37,4,3
37,7,3,97,18,79,7,3
38,7,4,94,25,69,10,3
39,7,5,0,0,0,0,3
40,10,1,0,0,0,0,3
41,10,2,0,0,0,0,3
42,10,3,987,45,942,13,3
43,10,4,967,66,901,33,3
44,10,5,977,79,898,25,3
45,4,1,0,0,0,0,4
46,4,2,0,0,0,0,4
47,4,3,0,0,0,3,4
48,4,4,1,0,1,2,4
49,4,5,1,0,1,2,4
50,7,1,0,0,0,0,4
51,7,2,0,0,0,0,4
52,7,3,109,20,89,4,4
53,7,4,102,23,79,8,4
54,7,5,0,0,0,0,4
55,10,1,0,0,0,0,4
56,10,2,0,0,0,0,4
57,10,3,989,53,936,17,4
58,10,4,975,55,920,21,4
59,10,5,475,68,407,10,4
60,4,1,0,0,0,0,5
61,4,2,6,0,6,0,5
62,4,3,3,0,3,0,5
63,4,4,3,0,3,0,5
64,4,5,4,0,4,0,5
65,7,1,0,0,0,0,5
66,7,2,0,0,0,0,5
67,7,3,108,22,86,9,5
68,7,4,97,27,70,12,5
69,7,5,0,0,0,0,5
70,10,1,0,0,0,0,5
71,10,2,0,0,0,0,5
72,10,3,993,55,938,10,5
73,10,4,988,60,928,12,5
74,10,5,981,87,894,16,5
75,4,1,0,0,0,0,6
76,4,2,0,0,0,3,6
77,4,3,5,0,5,0,6
78,4,4,3,0,3,0,6
79,4,5,2,0,2,0,6
80,7,1,0,0,0,0,6
81,7,2,0,0,0,4,6
82,7,3,104,23,81,9,6
83,7,4,103,27,76,9,6
84,7,5,0,0,0,0,6
85,10,1,0,0,0,0,6
86,10,2,0,0,0,0,6
87,10,3,996,51,945,11,6
88,10,4,235,44,191,4,6
89,10,5,994,77,917,15,6
90,4,1,0,0,0,0,7
91,4,2,0,0,0,4,7
92,4,3,2,0,2,2,7
93,4,4,1,0,1,3,7
94,4,5,2,0,2,0,7
95,7,1,0,0,0,0,7
96,7,2,0,0,0,0,7
97,7,3,107,25,82,4,7
98,7,4,100,24,76,7,7
99,7,5,0,0,0,0,7
100,10,1,0,0,0,0,7
101,10,2,1,1,0,0,7
102,10,3,484,45,439,9,7
103,10,4,976,60,916,22,7
104,10,5,978,68,910,19,7
105,4,1,0,0,0,0,8
106,4,2,2,1,1,0,8
107,4,3,0,0,0,3,8
108,4,4,1,0,1,1,8
109,4,5,2,0,2,0,8
110,7,1,0,0,0,0,8
111,7,2,0,0,0,5,8
112,7,3,104,18,86,6,8
113,7,4,102,25,77,6,8
114,7,5,0,0,0,0,8
115,10,1,0,0,0,0,8
116,10,2,0,0,0,0,8
117,10,3,982,46,936,16,8
118,10,4,488,50,438,7,8
119,10,5,982,81,901,24,8
120,4,1,0,0,0,0,9
121,4,2,0,0,0,0,9
122,4,3,0,0,0,0,9
123,4,4,0,0,0,5,9
124,4,5,0,0,0,1,9
125,7,1,0,0,0,0,9
126,7,2,0,0,0,5,9
127,7,3,106,23,83,10,9
128,7,4,101,28,73,10,9
129,7,5,0,0,0,0,9
130,10,1,0,0,0,0,9
131,10,2,0,0,0,0,9
132,10,3,978,47,931,21,9
133,10,4,969,68,901,33,9
134,10,5,976,79,897,23,9
135,4,1,0,0,0,0,10
136,4,2,0,0,0,0,10
137,4,3,0,0,0,0,10
138,4,4,0,0,0,5,10
139,4,5,4,0,4,0,10
140,7,1,0,0,0,0,10
141,7,2,47,12,35,3,10
142,7,3,92,16,76,11,10
143,7,4,94,23,71,16,10
144,7,5,0,0,0,0,10
145,10,1,0,0,0,0,10
146,10,2,0,0,0,0,10
147,10,3,987,51,936,15,10
148,10,4,991,68,923,14,10
149,10,5,974,84,890,29,10
150,4,1,0,0,0,0,11
151,4,2,0,0,0,6,11
152,4,3,4,0,4,1,11
153,4,4,1,0,1,0,11
154,4,5,1,0,1,0,11
155,7,1,0,0,0,0,11
156,7,2,0,0,0,0,11
157,7,3,45,16,29,5,11
158,7,4,102,25,77,8,11
159,7,5,0,0,0,0,11
160,10,1,0,0,0,0,11
161,10,2,0,0,0,0,11
162,10,3,483,43,440,12,11
163,10,4,977,58,919,19,11
164,10,5,978,74,904,30,11
165,4,1,0,0,0,0,12
166,4,2,2,1,1,0,12
167,4,3,0,0,0,4,12
168,4,4,1,0,1,0,12
169,4,5,1,0,1,0,12
170,7,1,0,0,0,0,12
171,7,2,51,15,36,4,12
172,7,3,101,23,78,12,12
173,7,4,21,10,11,1,12
174,7,5,0,0,0,0,12
175,10,1,0,0,0,0,12
176,10,2,0,0,0,0,12
177,10,3,479,40,439,10,12
178,10,4,968,72,896,37,12
179,10,5,976,76,900,22,12
180,4,1,0,0,0,0,13
181,4,2,4,0,4,2,13
182,4,3,3,0,3,1,13
183,4,4,2,0,2,1,13
184,4,5,0,0,0,0,13
185,7,1,0,0,0,0,13
186,7,2,18,6,12,2,13
187,7,3,96,17,79,9,13
188,7,4,101,21,80,7,13
189,7,5,0,0,0,0,13
190,10,1,0,0,0,0,13
191,10,2,0,0,0,0,13
192,10,3,979,48,931,16,13
193,10,4,970,73,897,33,13
194,10,5,973,72,901,26,13
195,4,1,0,0,0,0,14
196,4,2,0,0,0,4,14
197,4,3,3,0,3,1,14
198,4,4,2,0,2,0,14
199,4,5,5,0,5,0,14
200,7,1,0,0,0,0,14
201,7,2,0,0,0,2,14
202,7,3,47,13,34,3,14
203,7,4,106,25,81,7,14
204,7,5,0,0,0,0,14
205,10,1,0,0,0,0,14
206,10,2,0,0,0,0,14
207,10,3,976,46,930,21,14
208,10,4,949,71,878,55,14
209,10,5,959,84,875,43,14
210,4,1,0,0,0,0,15
211,4,2,0,0,0,0,15
212,4,3,4,0,4,1,15
213,4,4,2,0,2,1,15
214,4,5,0,0,0,2,15
215,7,1,0,0,0,0,15
216,7,2,21,8,13,1,15
217,7,3,51,15,36,3,15
218,7,4,2,2,0,0,15
219,7,5,0,0,0,0,15
220,10,1,0,0,0,0,15
221,10,2,0,0,0,0,15
222,10,3,987,51,936,13,15
