index,#_diseases,dataset_num,file_num,kl_div_z,kl_div,js_div_z,js_div,pow_div_z,pow_div
0,4,1,1,0.069561222,0.069561222,0.128663139,0.128663139,0.151255418,0.151255418
1,4,1,2,0.08536649,0.08536649,0.157290583,0.157290583,0.142427013,0.142427013
2,4,1,3,0.09117326,0.09117326,0.143828695,0.143828695,0.210944273,0.210944273
3,4,1,4,NaN,0.198338783,0.238662863,0.238661639,0.349178063,0.34917779
4,4,1,5,NaN,0.105050076,0.16997753,0.169973682,0.191521985,0.191511406
5,7,1,1,0.170703187,0.170703187,0.184556454,0.184556454,0.507978186,0.507978186
6,7,1,2,0.37426803,0.37426803,0.272726292,0.272726292,1.171275413,1.171275413
7,7,1,3,0.437927147,0.437927147,0.2778083,0.2778083,1.760210256,1.760210256
8,7,1,4,0.438205144,0.438205144,0.288522952,0.288522952,1.515447062,1.515447062
9,7,1,5,0.617196744,0.617196744,0.333012523,0.333012523,2.706239881,2.706239881
10,10,1,1,0.06951328,0.06951328,0.131424456,0.131424456,0.145973975,0.145973975
11,10,1,2,0.175840675,0.175840675,0.206140999,0.206140999,0.390691332,0.390691332
12,10,1,3,0.267564577,0.267564577,0.238359539,0.238359539,0.880874239,0.880874239
13,10,1,4,0.33503975,0.33503975,0.264000987,0.264000987,1.097401321,1.097401321
14,10,1,5,0.329449771,0.329449771,0.263679431,0.263679431,1.030535601,1.030535601
15,4,2,1,0.050470064,0.050470064,0.11175361,0.11175361,0.104784228,0.104784228
16,4,2,2,NaN,0.229057075,0.253261639,0.253277999,0.428081145,0.428174189
17,4,2,3,0.079602894,0.079602894,0.140599539,0.140599539,0.164406724,0.164406724
18,4,2,4,NaN,0.15119151,0.216406929,0.216411383,0.231207502,0.231240057
19,4,2,5,NaN,0.16494705,0.226454388,0.226452508,0.250040944,0.250029831
20,7,2,1,0.144497623,0.144497623,0.177067876,0.177067876,0.361790223,0.361790223
21,7,2,2,0.144468159,0.144468159,0.16713997,0.16713997,0.516937906,0.516937906
22,7,2,3,NaN,0.354338665,0.274386801,0.274381762,1.159038357,1.15884109
23,7,2,4,0.249707838,0.249707838,0.235805646,0.235805646,0.649324156,0.649324156
24,7,2,5,0.551473692,0.551473692,0.350462873,0.350462873,1.458143286,1.458143286
25,10,2,1,0.053963503,0.053963503,0.117614564,0.117614564,0.108433792,0.108433792
26,10,2,2,0.158505486,0.158505486,0.197604902,0.197604902,0.343256787,0.343256787
27,10,2,3,0.22254292,0.22254292,0.225718179,0.225718179,0.636304327,0.636304327
28,10,2,4,0.244469752,0.244469752,0.239266865,0.239266865,0.600502963,0.600502963
29,10,2,5,0.279130896,0.279130896,0.255038973,0.255038973,0.702770281,0.702770281
30,4,3,1,0.135099761,0.135099761,0.176477361,0.176477361,0.310063284,0.310063284
31,4,3,2,0.099835872,0.099835872,0.149928312,0.149928312,0.239892107,0.239892107
32,4,3,3,0.112871635,0.112871635,0.172579193,0.172579193,0.215637035,0.215637035
33,4,3,4,0.084436706,0.084436706,0.149750946,0.149750946,0.157780927,0.157780927
34,4,3,5,0.086176,0.086176,0.151385076,0.151385076,0.159942296,0.159942296
35,7,3,1,0.15534319,0.15534319,0.181487833,0.181487833,0.407628732,0.407628732
36,7,3,2,NaN,0.208910207,0.213088658,0.213085106,0.61987631,0.619837439
37,7,3,3,NaN,0.321192361,0.280197028,0.280196788,0.731544567,0.731525281
38,7,3,4,0.29922018,0.29922018,0.258827721,0.258827721,0.754579615,0.754579615
39,7,3,5,0.480186061,0.480186061,0.33283291,0.33283291,1.184296493,1.184296493
40,10,3,1,0.09057173,0.09057173,0.144751797,0.144751797,0.210749383,0.210749383
41,10,3,2,0.134496971,0.134496971,0.181082403,0.181082403,0.290189638,0.290189638
42,10,3,3,0.226619805,0.226619805,0.227443508,0.227443508,0.615705313,0.615705313
43,10,3,4,0.199317056,0.199317056,0.214332472,0.214332472,0.496738889,0.496738889
44,10,3,5,0.194793675,0.194793675,0.214255059,0.214255059,0.459279577,0.459279577
45,4,4,1,0.080262194,0.080262194,0.136936374,0.136936374,0.183166231,0.183166231
46,4,4,2,0.165986255,0.165986255,0.190239478,0.190239478,0.433769155,0.433769155
47,4,4,3,0.152322443,0.152322443,0.196660965,0.196660965,0.312684053,0.312684053
