index,#_diseases,dataset_num,file_num,tot_zeros,kl_div_z,kl_div,js_div_z,js_div,pow_div_z,pow_div
0,15,10,1,0,0.042530703,0.042530703,0.104777017,0.104777017,0.083762703,0.083762703
1,15,10,2,0,0.108868354,0.108868354,0.146077018,0.146077018,0.350867489,0.350867489
2,15,10,3,0,0.140384423,0.140384423,0.171278714,0.171278714,0.505943563,0.505943563
3,15,10,4,0,0.136603377,0.136603377,0.175739004,0.175739004,0.352857944,0.352857944
4,15,10,5,0,0.168382841,0.168382841,0.198650903,0.198650903,0.40728773,0.40728773
5,15,20,1,0,0.083099481,0.083099481,0.140995753,0.140995753,0.184883401,0.184883401
6,15,20,2,0,0.187268557,0.187268557,0.202347381,0.202347381,0.557133425,0.557133425
7,15,20,3,0,0.234094247,0.234094247,0.22813028,0.22813028,0.704365132,0.704365132
8,15,20,4,0,0.274310651,0.274310651,0.248165583,0.248165583,0.786830394,0.786830394
9,15,20,5,0,0.26692716,0.26692716,0.248768079,0.248768079,0.69969765,0.69969765
10,15,30,1,0,0.202355286,0.202355286,0.204382471,0.204382471,0.602309655,0.602309655
11,15,30,2,0,0.523589716,0.523589716,0.298169471,0.298169471,4.324221534,4.324221534
12,15,30,3,0,0.648439665,0.648439665,0.329209358,0.329209358,5.883908396,5.883908396
13,15,30,4,0,0.771367146,0.771367146,0.36536348,0.36536348,5.882376013,5.882376013
14,15,30,5,0,0.789237598,0.789237598,0.368156997,0.368156997,8.668497206,8.668497206
15,15,40,1,0,0.527926615,0.527926615,0.296784129,0.296784129,2.807694891,2.807694891
16,15,40,2,0,0.843490915,0.843490915,0.360045918,0.360045918,11.42725792,11.42725792
17,15,40,3,0,1.002713688,1.002713688,0.385911779,0.385911779,18.8052378,18.8052378
18,15,40,4,0,1.333836392,1.333836392,0.420313822,0.420313822,60.59679128,60.59679128
19,15,40,5,16,NaN,1.967221467,0.475984533,0.475987558,200.3715473,200.3599614
20,15,50,1,0,0.054910457,0.054910457,0.116499793,0.116499793,0.115513809,0.115513809
21,15,50,2,0,0.155264188,0.155264188,0.17648747,0.17648747,0.788039265,0.788039265
22,15,50,3,0,0.179563085,0.179563085,0.194375677,0.194375677,0.630414761,0.630414761
23,15,50,4,0,0.23971186,0.23971186,0.22415235,0.22415235,0.804083101,0.804083101
24,15,50,5,0,0.18461572,0.18461572,0.209699632,0.209699632,0.449417217,0.449417217
25,15,51,1,0,0.07699788,0.07699788,0.134870665,0.134870665,0.172836583,0.172836583
26,15,51,2,0,0.170181505,0.170181505,0.182615566,0.182615566,1.031322041,1.031322041
27,15,51,3,0,0.257162787,0.257162787,0.217475403,0.217475403,1.272566546,1.272566546
28,15,51,4,0,0.217061729,0.217061729,0.222625812,0.222625812,0.664351275,0.664351275
29,15,51,5,0,0.262995624,0.262995624,0.244143819,0.244143819,0.751603667,0.751603667
30,15,52,1,0,0.051677089,0.051677089,0.114153469,0.114153469,0.105415745,0.105415745
31,15,52,2,0,0.134602247,0.134602247,0.173648276,0.173648276,0.392577773,0.392577773
32,15,52,3,0,0.165558641,0.165558641,0.188130023,0.188130023,0.580112034,0.580112034
33,15,52,4,0,0.180790271,0.180790271,0.201712626,0.201712626,0.521095402,0.521095402
34,15,52,5,0,0.193022502,0.193022502,0.217666368,0.217666368,0.428413056,0.428413056
35,15,53,1,0,0.089387742,0.089387742,0.150609091,0.150609091,0.183245272,0.183245272
36,15,53,2,0,0.181538469,0.181538469,0.207616438,0.207616438,0.481311351,0.481311351
37,15,53,3,0,0.235075663,0.235075663,0.227258459,0.227258459,0.839782457,0.839782457
38,15,53,4,0,0.295394766,0.295394766,0.260226799,0.260226799,0.934676697,0.934676697
39,15,53,5,0,0.342494543,0.342494543,0.282183013,0.282183013,0.910037885,0.910037885
40,15,54,1,0,0.22634132,0.22634132,0.226692893,0.226692893,0.567867994,0.567867994
